Channel,Elevation,Azimuth
1,-4.316,-2.191
2,-3.533,-10.941
3,-2.536,-2.210
4,-1.726,-10.945
5,-0.835,-2.230
6,0.002,-10.962
7,0.812,-2.250
8,1.674,-10.987
9,2.476,1.661
10,3.340,10.370
11,4.136,1.629
12,4.972,10.366
13,5.758,1.602
14,6.567,10.371
15,7.343,1.577
16,8.129,10.385
17,8.925,-2.262
18,9.684,-11.102
19,10.443,-2.288
20,11.186,-11.169
21,11.932,-2.315
22,12.661,-11.245
23,13.396,-2.343
24,14.111,-11.327
25,14.982,1.478
26,15.702,10.522
27,16.393,1.479
28,17.098,10.617
29,17.787,1.480
30,18.477,10.694
31,19.165,1.483
32,19.843,10.755
33,20.568,-2.362
34,21.216,-11.745
35,21.917,-2.396
36,22.556,-11.866
37,23.257,-2.431
38,23.887,-11.995
39,24.588,-2.467
40,25.209,-12.134
41,25.874,1.625
42,26.532,11.415
43,27.189,1.644
44,27.833,11.554
45,28.500,1.663
46,29.128,11.700
47,29.806,1.683
48,30.418,11.856
49,31.141,-2.542
50,31.830,-12.860
51,32.434,-2.581
52,33.111,-13.046
53,33.725,-2.622
54,34.389,-13.246
55,35.013,-2.666
56,35.663,-13.458
57,36.260,1.893
58,36.926,12.930
59,37.549,1.934
60,38.194,13.198
61,38.837,1.976
62,39.461,13.455
63,40.125,2.018
64,40.730,13.699
65,41.450,-2.816
66,42.165,-14.693
67,42.735,-2.830
68,43.421,-15.023
69,44.020,-2.870
70,44.681,-15.329
71,45.304,-2.937
72,45.946,-15.613
73,46.552,2.376
74,47.250,15.464
75,47.843,2.299
76,48.513,15.881
77,49.131,2.390
78,49.773,16.334
79,50.417,2.677
80,51.031,16.824
81,51.759,-3.177
82,52.479,-17.707
83,53.055,-3.233
84,53.740,-18.202
85,54.354,-3.283
86,55.002,-18.733
87,55.657,-3.328
88,56.266,-19.303
89,56.910,3.285
90,57.673,20.055
91,58.226,3.462
92,58.933,20.913
93,59.546,3.671
94,60.196,21.830
95,60.872,3.918
96,61.464,22.811
97,62.286,-3.827
98,63.049,-23.567
99,63.635,-3.914
100,64.338,-24.604
101,64.996,-4.001
102,65.632,-25.768
103,66.368,-4.091
104,66.928,-27.085
105,67.686,5.346
106,68.740,31.193
107,69.087,5.773
108,69.995,33.439
109,70.503,6.284
110,71.231,36.063
111,71.938,6.904
112,72.435,39.147
113,73.523,-5.187
114,74.951,-42.338
115,75.024,-5.582
116,76.140,-46.646
117,76.553,-6.066
118,77.261,-51.845
119,78.112,-6.674
120,78.281,-58.132
121,79.356,25.063
122,80.802,29.750
123,82.192,36.287
124,83.442,45.708
125,85.099,-7.449
126,86.772,-2.293
127,88.354,13.736
128,89.078,59.895
